阿春家, 北新桥路口, 餐饮服务;中餐厅;中餐厅, 116.410850,39.939016, 116.417091,39.940417, 116.423500,39.946630
阿里山广场, 前门大街, 风景名胜;公园广场;公园广场, 116.393326,39.893812, 116.399568,39.895215, 116.405953,39.901566
阿玛施(北京市百货大楼), 王府井大街255号2层, 购物服务;服装鞋帽皮具店;品牌服装店, 116.403165,39.912206, 116.409408,39.913609, 116.415790,39.919912
阿毛菜馆, 香饵胡同80-2, 餐饮服务;中餐厅;中餐厅, 116.408561,39.937868, 116.414804,39.939270, 116.421202,39.945514
阿呆炖锅, 永定门东街中里13-11, 餐饮服务;中餐厅;中餐厅, 116.403308,39.872162, 116.409545,39.873563, 116.415959,39.879876
阿达尼, 东打磨厂街7号新世界女子百货内, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.407091,39.898276, 116.413330,39.899677, 116.419739,39.905945
阿娅卡, 永定门外大街101-2号百荣世贸商城2CD009-010, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.391867,39.859671, 116.398105,39.861072, 116.404503,39.867425
阿嘉仓, 戏楼一巷附近, 风景名胜;风景名胜;风景名胜, 116.411544,39.945221, 116.417785,39.946621, 116.424201,39.952825
阿玛施, 民旺园30, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.419343,39.951054, 116.425576,39.952448, 116.432041,39.958526
阿桑娜 azona ao2(新东安店), 王府井大街138号新东安市场2层232-233号店铺, 购物服务;服装鞋帽皮具店;品牌服装店, 116.405603,39.912142, 116.411844,39.913544, 116.418234,39.919824
阿芙(北京市百货大楼), 王府井大街255号2层, 购物服务;个人用品/化妆品店;其它个人用品店, 116.403300,39.912515, 116.409543,39.913918, 116.415925,39.920220
阿越涮肉, 安定门内大街262, 餐饮服务;中餐厅;火锅店, 116.402437,39.941458, 116.408684,39.942863, 116.415062,39.949172
阿芙香薰, 新东安广场3层321, 生活服务;洗浴推拿场所;洗浴推拿场所, 116.405604,39.912735, 116.411845,39.914137, 116.418235,39.920417
阿尔蒂, 东长安街1号东方新天地, 购物服务;服装鞋帽皮具店;品牌服装店, 116.405930,39.907975, 116.412171,39.909377, 116.418566,39.915655
陈阿婆重庆绿色鱼火锅(广渠门店), 广渠门内大街富贵园南小市口18号, 餐饮服务;中餐厅;火锅店, 116.425057,39.894181, 116.431274,39.895566, 116.437786,39.901544
阿尤(东四民俗店), 东四南大街51, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.411246,39.920135, 116.417484,39.921535, 116.423894,39.927742
阿尤(安定门外大街), 安外西河沿13, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.401494,39.949462, 116.407742,39.950867, 116.414123,39.957185
阿毛菜馆, 大阮府胡同, 餐饮服务;中餐厅;中餐厅, 116.401976,39.911530, 116.408219,39.912934, 116.414598,39.919247
阿春菜馆, 工体西路(工人体育馆附近), 餐饮服务;中餐厅;北京菜, 116.433908,39.929001, 116.440112,39.930375, 116.446654,39.936192
阿尤(和平里东街), 和平里东街12之8-9, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.419417,39.953770, 116.425650,39.955164, 116.432118,39.961241
阿春生煎, 建国门内大街18号恒基商城, 餐饮服务;中餐厅;中餐厅, 116.421606,39.905508, 116.427830,39.906898, 116.434310,39.912935
阿丹菜馆, 马家堡33号楼9-2号, 餐饮服务;中餐厅;中餐厅, 116.382804,39.865444, 116.389039,39.866842, 116.395457,39.873142
阿芳酒家, 新中街46号, 餐饮服务;中餐厅;中餐厅, 116.432963,39.931254, 116.439169,39.932629, 116.445706,39.938461
阿兰德隆(百货大楼店), 王府井大街255号北京百货大楼, 购物服务;服装鞋帽皮具店;品牌服装店, 116.404072,39.912033, 116.410314,39.913436, 116.416699,39.919731
阿曼妮(三友商场), 东四南大街17号F3层, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.411055,39.921559, 116.417293,39.922959, 116.423701,39.929169
新疆阿达西, 钱粮胡同4, 餐饮服务;中餐厅;清真菜馆, 116.410754,39.926536, 116.416993,39.927936, 116.423399,39.934149
阿胖食府, 东中街, 餐饮服务;中餐厅;北京菜, 116.430531,39.933696, 116.436743,39.935075, 116.443266,39.940948
新疆阿达西(白桥大街), 白桥大街22-2, 餐饮服务;中餐厅;清真菜馆, 116.433352,39.894802, 116.439553,39.896175, 116.446114,39.902009
新疆阿迪力, 工体北路(工人体育馆北门对面), 餐饮服务;中餐厅;清真菜馆, 116.436493,39.932701, 116.442692,39.934070, 116.449247,39.939848
阿胶专营, 交道口南大街120号(近北兵马司公交站), 购物服务;综合市场;综合市场, 116.402677,39.934844, 116.408923,39.936248, 116.415298,39.942554
阿瑟斯(王府井店), 王府井大街138号新东安市场胜利之星休闲运动城, 购物服务;服装鞋帽皮具店;品牌服装店, 116.405358,39.912339, 116.411599,39.913741, 116.417988,39.920024
阿桑娜(新世界一期店), 崇文门外大街3号北京新世界中心, 购物服务;服装鞋帽皮具店;品牌服装店, 116.411398,39.896807, 116.417633,39.898206, 116.424063,39.904417
阿胖家(春秀路店), 春秀路甲6, 餐饮服务;中餐厅;中餐厅, 116.437490,39.934957, 116.443687,39.936325, 116.450248,39.942089
阿良饭庄, 南三环木樨园桥永外大街, 餐饮服务;中餐厅;浙江菜, 116.391690,39.863292, 116.397928,39.864693, 116.404327,39.871046
新疆阿迪力(吉市口东路), 工体西门吉市口东街东营房八条13号, 餐饮服务;中餐厅;清真菜馆, 116.433892,39.928947, 116.440096,39.930321, 116.446638,39.936138
阿胖食坊(新中街店), 新中街18号, 餐饮服务;中餐厅;中餐厅, 116.435043,39.934609, 116.441245,39.935981, 116.447794,39.941781
阿尔法面馆, 北三环东路胜古南里17号(近蓝星大厦), 餐饮服务;中餐厅;清真菜馆, 116.408627,39.960472, 116.414872,39.961875, 116.421289,39.968124
阿芙(新世界店), 崇文门外大街3-5号新世界百货青春馆1层, 购物服务;个人用品/化妆品店;其它个人用品店, 116.411635,39.897245, 116.417870,39.898643, 116.424300,39.904851
阿牛哥砂锅米线, 安定门内大街230, 餐饮服务;中餐厅;中餐厅, 116.402400,39.942135, 116.408647,39.943540, 116.415025,39.949849
阿洁名店, 东四前街隆福寺中通道QA106号, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.407562,39.923640, 116.413804,39.925042, 116.420196,39.931298
阿迪达斯, 新东安广场B1层B136, 购物服务;体育用品店;阿迪达斯专卖店, 116.405578,39.912717, 116.411819,39.914119, 116.418209,39.920399
西域阿迪力, 兴化路9号, 餐饮服务;中餐厅;清真菜馆, 116.407745,39.959393, 116.413991,39.960796, 116.420403,39.967056
禾中春新疆阿达西餐厅, 东四钱粮胡同28号(东四北大街路口西), 餐饮服务;中餐厅;清真菜馆, 116.408725,39.926404, 116.414966,39.927805, 116.421362,39.934046
阿依莲专卖店(东单店), 东单北大街96号, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.412004,39.908551, 116.418240,39.909950, 116.424661,39.916148
阿迪达斯(国瑞购物中心), 崇文门外大街18号LG层, 购物服务;体育用品店;阿迪达斯专卖店, 116.413488,39.897668, 116.419721,39.899065, 116.426161,39.905244
阿胖骨头锅(东直门第六直营店), 东中街38, 餐饮服务;中餐厅;中餐厅, 116.432267,39.935522, 116.438475,39.936899, 116.445009,39.942743
纳贞·阿火(东四店), 东四北大街轿子胡同52号, 餐饮服务;中餐厅;特色/地方风味餐厅, 116.410672,39.925094, 116.416911,39.926494, 116.423317,39.932709
西门町阿宗面线, 东四北大街537号, 餐饮服务;中餐厅;台湾菜, 116.411025,39.923992, 116.417264,39.925392, 116.423672,39.931602
新疆阿迪力(崔府夹道), 美术馆东街22号三联韬奋书店南侧胡同内, 餐饮服务;中餐厅;清真菜馆, 116.406611,39.924643, 116.412853,39.926045, 116.419241,39.932312
阿美烟店, 法华寺街, 购物服务;综合市场;综合市场, 116.417243,39.886073, 116.423470,39.887466, 116.429941,39.893587
乔治阿玛尼(半岛店), 王府井金鱼胡同8号王府半岛酒店, 购物服务;服装鞋帽皮具店;品牌服装店, 116.410179,39.913582, 116.416417,39.914982, 116.422825,39.921205
阿妈时空, 帽儿胡同3号(近南锣鼓巷), 购物服务;专卖店;珠宝首饰工艺品, 116.396553,39.934915, 116.402800,39.936320, 116.409164,39.942659
阿迪力食府, 地安门东大街83号恒祥居酒楼2层, 餐饮服务;餐饮相关场所;餐饮相关, 116.397563,39.932468, 116.403810,39.933873, 116.410174,39.940209
阿杰邦尼童装, 永定门外大街101号百荣世贸商城内(木樨园桥西北侧), 购物服务;专卖店;儿童用品店, 116.391842,39.859385, 116.398080,39.860786, 116.404478,39.867139
阿春家, 王府井大街255号百货大楼B2楼, 餐饮服务;快餐厅;快餐厅, 116.403277,39.911747, 116.409520,39.913150, 116.415903,39.919453
阿迪达斯(北京市百货大楼), 王府井大街255号4层, 购物服务;体育用品店;阿迪达斯专卖店, 116.403699,39.912453, 116.409941,39.913856, 116.416325,39.920155
阿彪理发, 北锣鼓巷16, 生活服务;美容美发店;美容美发店, 116.396632,39.945795, 116.402881,39.947201, 116.409251,39.953542
新疆阿里木餐厅(炮局胡同), 炮局胡同4-1, 餐饮服务;中餐厅;清真菜馆, 116.418995,39.944616, 116.425227,39.946010, 116.431685,39.952092
东阿斯门, 藏经馆胡同15藏经馆胡同小区附近, 风景名胜;风景名胜;风景名胜, 116.411633,39.945709, 116.417874,39.947109, 116.424291,39.953312
西阿斯门, 雍和宫大街12附近, 风景名胜;风景名胜;风景名胜, 116.410659,39.945729, 116.416901,39.947130, 116.423313,39.953347
阿玛施(协和明日大厦东), 东单北大街69-7, 购物服务;服装鞋帽皮具店;品牌服装店, 116.411485,39.910165, 116.417722,39.911564, 116.424139,39.917770
阿牛与仙草, 雍和宫大街(雍和宫对面), 餐饮服务;冷饮店;冷饮店, 116.410313,39.942575, 116.416555,39.943976, 116.422963,39.950197
阿芙(银座百货), 东直门外大街48号F1层109, 购物服务;个人用品/化妆品店;其它个人用品店, 116.429456,39.938511, 116.435670,39.939892, 116.442189,39.945784
阿文造型, 安乐林路景泰西里东区9号楼2楼, 生活服务;美容美发店;美容美发店, 116.402892,39.862265, 116.409128,39.863666, 116.415540,39.869982
陈阿姨COS演出服定制, 南锣鼓巷24, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.397019,39.937833, 116.403267,39.939238, 116.409632,39.945576
阿珂姆(乐天银泰店), 王府井大街88号乐天银泰百货内, 购物服务;体育用品店;户外用品, 116.405568,39.914472, 116.411810,39.915874, 116.418198,39.922154
阿米雪牦牛酸奶, 南罗鼓巷15-1号, 餐饮服务;甜品店;甜品店, 116.396696,39.938616, 116.402944,39.940021, 116.409309,39.946360
阿狸(国瑞购物中心), 崇文门外大街18号LG层, 购物服务;购物相关场所;购物相关场所, 116.413538,39.896788, 116.419771,39.898185, 116.426212,39.904364
阿斯蒙迪(北京市百货大楼), 王府井大街255号5层, 购物服务;专卖店;珠宝首饰工艺品, 116.404113,39.912376, 116.410355,39.913779, 116.416740,39.920074
台北阿旺, 前门东大街大江胡同台湾小吃街(阿里山小火车旁边台湾魅力老街地下一层), 餐饮服务;甜品店;甜品店, 116.393808,39.893767, 116.400050,39.895170, 116.406435,39.901521
阿胖家羊汤, 集市口东路, 餐饮服务;中餐厅;中餐厅, 116.433876,39.929628, 116.440080,39.931002, 116.446621,39.936820
阿勇饰品屋, 广渠门内领行国际3-2-1005(近崇文交通队), 购物服务;专卖店;珠宝首饰工艺品, 116.435244,39.891536, 116.441440,39.892906, 116.448014,39.898711
阿罗科咖啡, 新中街7号, 餐饮服务;餐饮相关场所;餐饮相关, 116.432677,39.937412, 116.438885,39.938788, 116.445422,39.944625
阿杰理发店, 东皇城根南街36-3, 生活服务;美容美发店;美容美发店, 116.400798,39.919501, 116.407043,39.920905, 116.413414,39.927225
阿迪达斯休闲(国瑞购物中心), 崇文门外大街18号LG层, 购物服务;体育用品店;阿迪达斯专卖店, 116.413322,39.897354, 116.419555,39.898751, 116.425994,39.904933
阿兰若足道&保健, 大雅宝胡同1号梓峰大厦, 生活服务;洗浴推拿场所;洗浴推拿场所, 116.427390,39.914565, 116.433605,39.915948, 116.440113,39.921878
淑女阿锈, 东城区, 生活服务;生活服务场所;生活服务场所, 116.397368,39.879918, 116.403608,39.881321, 116.410006,39.887669
阿茉兰蒂(新世界店), 崇文门外大街3-5号新世界百货内, 购物服务;专卖店;珠宝首饰工艺品, 116.411745,39.896732, 116.417980,39.898130, 116.424411,39.904336
阿坤造型, 安定门内大街198, 生活服务;美容美发店;美容美发店, 116.402382,39.942774, 116.408629,39.944179, 116.415007,39.950488
阿婆家春饼私家菜, 广渠门内白桥大街22号(广渠门中学), 餐饮服务;中餐厅;北京菜, 116.433309,39.895217, 116.439510,39.896590, 116.446071,39.902424
阿阿熊摄影, 交道口东大街4号楼2层07室, 生活服务;摄影冲印店;摄影冲印, 116.409408,39.939199, 116.415650,39.940601, 116.422052,39.946834
阿凯美容美发, 东四南大街245, 生活服务;美容美发店;美容美发店, 116.411296,39.915161, 116.417533,39.916560, 116.423946,39.922767
阿尤(金鱼胡同店), 金鱼胡同3号和平宾馆东侧, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.410062,39.914390, 116.416300,39.915790, 116.422707,39.922015
阿迪达斯(营房东街), 体育馆路7号邮局旁, 购物服务;体育用品店;阿迪达斯专卖店, 116.421569,39.883262, 116.427790,39.884651, 116.434290,39.890696
阿芙(东方新天地店), 东长安街1号, 购物服务;个人用品/化妆品店;其它个人用品店, 116.406304,39.908262, 116.412544,39.909664, 116.418940,39.915937
阿加达首饰, 东长安街1号东方新天地A107, 购物服务;专卖店;珠宝首饰工艺品, 116.405930,39.907975, 116.412171,39.909377, 116.418566,39.915655
阿大砂锅, 蒲黄榆安乐林路(国家电网对面), 餐饮服务;快餐厅;快餐厅, 116.401603,39.863299, 116.407840,39.864700, 116.414249,39.871026
鑫美阿里俱乐部, 和平里, 体育休闲服务;娱乐场所;KTV, 116.388655,39.953009, 116.394904,39.954414, 116.401283,39.960749
阿天摄影工作室, 西园子街100号, 生活服务;生活服务场所;生活服务场所, 116.405254,39.888283, 116.411492,39.889684, 116.417903,39.895975
阿利烤羊腿, 南三环中路67附近, 餐饮服务;中餐厅;特色/地方风味餐厅, 116.403303,39.857613, 116.409539,39.859014, 116.415950,39.865326
埃菲尔铁塔, 建国门内大街18号恒基燕莎百货1层, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.422101,39.904293, 116.428324,39.905682, 116.434808,39.911711
埃梯梯工业(中国)投资有限公司, 东长安街1东方广场E3座3号楼902B, 金融保险服务;金融保险服务机构;金融保险机构, 116.410491,39.908457, 116.416728,39.909857, 116.423142,39.916077
伊塞埃特, 朝阳门北大街8号富华大厦F座F-16A, 公司企业;公司;公司, 116.429914,39.929950, 116.436126,39.931330, 116.442645,39.937213
埃德嘉巴黎美发沙龙, 东直门南大街1-1号来福士4层, 生活服务;美容美发店;美容美发店, 116.426420,39.939110, 116.432640,39.940495, 116.439140,39.946441
埃蒙小镇, 方家胡同46号, 餐饮服务;中餐厅;云贵菜, 116.404925,39.942508, 116.411171,39.943912, 116.417557,39.950198
埃及彩棺文物展, 东华门路附近, 科教文化服务;展览馆;展览馆, 116.390570,39.910308, 116.396814,39.911711, 116.403185,39.918052
埃玛纤姿舞蹈培训机构, 安贞大厦B3层, 生活服务;生活服务场所;生活服务场所, 116.402760,39.966777, 116.409010,39.968183, 116.415411,39.974497
埃梯梯飞力(沈阳)泵业有限公司北京办事处, 东长安街1东方广场E3座3号楼902A, 公司企业;公司;公司, 116.410491,39.908457, 116.416728,39.909857, 116.423142,39.916077
埃及神殿, 崇文门外大街40号搜秀城4楼008号, 购物服务;购物相关场所;购物相关场所, 116.413061,39.895027, 116.419294,39.896424, 116.425734,39.902611
埃而塔管理技术有限公司, 东长安街1号东方广场e1座2112, 公司企业;公司企业;公司企业, 116.409882,39.907615, 116.416120,39.909015, 116.422532,39.915244
北京埃威豪科技有限责任公司, 东兴隆街58号北京汇7层705, 公司企业;公司企业;公司企业, 116.406876,39.895645, 116.413114,39.897046, 116.419524,39.903317
美国埃理奥特公司北京代表处, 北三环东路36号环球贸易中心b座1706室, 公司企业;公司企业;公司企业, 116.404081,39.966642, 116.410330,39.968047, 116.416735,39.974349
埃菲布衣(恒基商城), 建国门内大街18号F1层, 购物服务;服装鞋帽皮具店;品牌服装店, 116.421488,39.906106, 116.427712,39.907496, 116.434190,39.913535
北京埃里奥特透平技术有限公司, 北三环东路36号环球贸易中心b座1206室, 公司企业;公司企业;公司企业, 116.404091,39.967133, 116.410340,39.968538, 116.416745,39.974840
埃玛舞蹈培训, 安定门外大街2号安贞大厦内(近环球贸易中心), 体育休闲服务;体育休闲服务场所;体育休闲服务场所, 116.402782,39.966792, 116.409032,39.968198, 116.415433,39.974512
埃玛纤姿舞蹈(亚运村), 亚运村漂亮广场A区316号安贞大厦B3楼(近环球贸易中心), 体育休闲服务;运动场馆;健身中心, 116.402780,39.966784, 116.409030,39.968190, 116.415431,39.974504
埃迪恩医药供应管理咨询有限公司, 北三环东路36号环球贸易中心A座1906, 公司企业;公司;医药公司, 116.403957,39.966815, 116.410206,39.968220, 116.416611,39.974523
爱哎爱婚庆服务中心, 灯市口大街100号华翔商务楼222室(近天伦王朝饭店), 生活服务;生活服务场所;生活服务场所, 116.406339,39.916988, 116.412580,39.918390, 116.418970,39.924661
哎呀呀北京分公司, 前门大街65, 购物服务;专卖店;礼品饰品店, 116.391753,39.894327, 116.397995,39.895730, 116.404380,39.902079
中北卫科癌症医学研究院, 安德路甲11, 科教文化服务;科研机构;科研机构, 116.400164,39.950319, 116.406413,39.951724, 116.412792,39.958051
内科双语癌症进展编辑部, 东单北大街69号协和明日大厦8层802, 科教文化服务;传媒机构;出版社, 116.411303,39.909926, 116.417540,39.911325, 116.423957,39.917533
北京康尔癌症药物研究所, 朝阳门内大街139, 科教文化服务;科研机构;科研机构, 116.418316,39.923349, 116.424547,39.924743, 116.430995,39.930835
中华中医抗癌学会抗癌俱乐部, 豆瓣胡同3-1, 政府机构及社会团体;社会团体;社会团体相关, 116.425613,39.926784, 116.431833,39.928170, 116.438326,39.934130
中北卫科癌症医学研究院附属医院, 安德路甲11号, 医疗保健服务;专科医院;专科医院, 116.400144,39.950300, 116.406393,39.951705, 116.412772,39.958032
艾元堂, 东花市南里东区9, 医疗保健服务;医药保健销售店;医疗保健用品, 116.431028,39.894148, 116.437234,39.895525, 116.443783,39.901397
艾Salon, 吉庆里10号(近聚龙花园小区南门), 生活服务;美容美发店;美容美发店, 116.434870,39.927520, 116.441072,39.928892, 116.447619,39.934694
鄂尔多斯艾力, 金宝街18号, 住宿服务;宾馆酒店;四星级宾馆, 116.422598,39.913924, 116.428821,39.915313, 116.435300,39.921330
鄂尔多斯艾力(西门), 金宝街18号, 住宿服务;宾馆酒店;四星级宾馆, 116.422248,39.913842, 116.428472,39.915231, 116.434949,39.921254
鄂尔多斯艾力(北门), 金宝街18附近, 住宿服务;宾馆酒店;四星级宾馆, 116.423152,39.913870, 116.429374,39.915258, 116.435857,39.921265
艾梅尼特, 王府井步行街88号乐天银泰百货3层, 购物服务;购物相关场所;购物相关场所, 116.405511,39.914978, 116.411753,39.916381, 116.418141,39.922661
碧艾尔, 朝阳门北小街4, 医疗保健服务;医药保健销售店;医疗保健用品, 116.420154,39.927123, 116.426382,39.928515, 116.432841,39.934574
娜艾足疗, 朝阳门南小街18-25, 生活服务;洗浴推拿场所;洗浴推拿场所, 116.420443,39.914979, 116.426670,39.916370, 116.433135,39.922426
艾悠游, 交道口北头条76号1018室, 体育休闲服务;体育休闲服务场所;体育休闲服务场所, 116.403640,39.940454, 116.409886,39.941858, 116.416266,39.948156
艾伦比萨餐厅, 东长安街1号东方新天地第一街食通天大街花花食界, 餐饮服务;快餐厅;快餐厅, 116.406384,39.907634, 116.412624,39.909036, 116.419021,39.915309
艾斯莱尔, 永定门外大街101-2号百荣世贸商城2C055, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.391866,39.859672, 116.398104,39.861073, 116.404502,39.867426
北京鄂尔多斯(四合院)艾力酒店, 东晓市街211号(天坛公园北门西北侧), 住宿服务;宾馆酒店;三星级宾馆, 116.404205,39.889709, 116.410444,39.891111, 116.416850,39.897412
艾咖啡, 永定门西滨河路8号院8-7号(陶然桥东南角中海地产广场后面), 餐饮服务;咖啡厅;咖啡厅, 116.383484,39.868721, 116.389720,39.870120, 116.396136,39.876426
艾文莉(新世界店), 崇文门外大街3-5号新世界百货二期1楼(地铁崇文门站南侧), 购物服务;个人用品/化妆品店;其它个人用品店, 116.411749,39.897222, 116.417984,39.898620, 116.424415,39.904826
艾纯依格, 东直门内大街288, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.410841,39.939091, 116.417082,39.940492, 116.423491,39.946705
艾尚发艺, 沙子口路61号楼(赵公口), 生活服务;美容美发店;美容美发店, 116.399533,39.859428, 116.405770,39.860830, 116.412173,39.867169
艾薇美甲, 崇文门国瑞城购物中心B2楼广德超级马克购物街A18(乐天玛特超市附近), 生活服务;生活服务场所;生活服务场所, 116.412899,39.897053, 116.419133,39.898450, 116.425570,39.904639
艾维婷婚庆, 灯市口大街33号国中商业大厦905, 生活服务;生活服务场所;生活服务场所, 116.408484,39.917511, 116.414724,39.918912, 116.421122,39.925157
艾凯丽足道, 大甜水井胡同16号, 生活服务;洗浴推拿场所;洗浴推拿场所, 116.403348,39.910017, 116.409590,39.911420, 116.415974,39.917722
艾度造型, 建国门北大街5号法宝超市B1楼(近金宝街), 生活服务;生活服务场所;生活服务场所, 116.427646,39.912568, 116.433860,39.913950, 116.440371,39.919876
艾弗森(王府井店), 王府井大街201号天元利生体育商厦, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.404187,39.915265, 116.410430,39.916668, 116.416813,39.922961
艾迪国际教育, 崇文门外大街3-5号新世界中心写字楼B座7楼, 科教文化服务;培训机构;培训机构, 116.411655,39.897202, 116.417890,39.898600, 116.424320,39.904807
迪艾薇(新世界店), 崇文门外大街3-5号新世界百货综合馆内(地铁崇文门站南), 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.411749,39.897222, 116.417984,39.898620, 116.424415,39.904826
艾美服饰, 东四南大街148, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.411659,39.917205, 116.417896,39.918604, 116.424309,39.924805
艾可造型, 建国门内大街甲18号恒基商城地下2层, 生活服务;美容美发店;美容美发店, 116.422147,39.904147, 116.428370,39.905536, 116.434854,39.911564
艾诗缇(银座百货), 东直门外大街48号F1层K2, 购物服务;个人用品/化妆品店;其它个人用品店, 116.429277,39.938668, 116.435492,39.940049, 116.442010,39.945944
艾希尼佳, 王府井步行街88号乐天银泰百货4层, 购物服务;购物相关场所;购物相关场所, 116.405521,39.914986, 116.411763,39.916389, 116.418151,39.922669
台湾艾可涮吧, 安定门内大街157号, 餐饮服务;中餐厅;火锅店, 116.401879,39.943421, 116.408126,39.944826, 116.414503,39.951139
艾文莉(新东安店), 王府井大街138号东安市场1层, 购物服务;专卖店;专营店, 116.405624,39.912151, 116.411865,39.913553, 116.418255,39.919833
艾鑫美容院, 东二环鼓楼东大街206号, 生活服务;美容美发店;美容美发店, 116.392954,39.939235, 116.399202,39.940640, 116.405566,39.946983
北京艾立卡诺童装商行, 永外大街101号百荣世贸商城B1A162号, 公司企业;公司企业;公司企业, 116.389539,39.858701, 116.395776,39.860102, 116.402176,39.866448
艾玛美容(崇文门店), 崇文门新世界商场二期太华公寓2座1109, 金融保险服务;金融保险服务机构;金融保险机构, 116.410632,39.894622, 116.416867,39.896021, 116.423295,39.902244
伊丝艾拉(国瑞城店), 崇文门外大街18号国瑞城购物中心内, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.413357,39.897517, 116.419590,39.898914, 116.426029,39.905095
普云五行艾灸馆, 珠市口东大街20号, 生活服务;洗浴推拿场所;洗浴推拿场所, 116.393698,39.889827, 116.399940,39.891230, 116.406329,39.897582
艾尚瑜伽工作室(雍和宫店), 和平里东街和平新城30号楼A座150D室, 体育休闲服务;运动场馆;健身中心, 116.419427,39.951119, 116.425660,39.952513, 116.432126,39.958589
艾普菲少儿国际俱乐部, 幸福家园9号楼101, 科教文化服务;学校;幼儿园, 116.423843,39.890904, 116.430061,39.892290, 116.436569,39.898291
艾丝薇尔婚纱, 东花市南里东区15号楼1单元1104室(鼎新大厦东侧), 购物服务;购物相关场所;购物相关场所, 116.429562,39.893114, 116.435770,39.894493, 116.442311,39.900391
艾薇尔时尚婚纱摄影, 东四南大街128, 生活服务;摄影冲印店;摄影冲印, 116.411689,39.917778, 116.417926,39.919177, 116.424339,39.925378
艾米美甲(崇文门店), 崇文门外大街40号搜秀城1楼105室, 科教文化服务;培训机构;培训机构, 116.413097,39.895156, 116.419330,39.896553, 116.425770,39.902739
艾尚蛋糕房(和平里店), 东土城路砖角楼南里8号, 餐饮服务;糕饼店;糕饼店, 116.416764,39.948804, 116.423000,39.950200, 116.429448,39.956322
新疆艾买提餐厅, 金宝街鄂尔多斯艾力酒店东侧, 餐饮服务;中餐厅;清真菜馆, 116.423604,39.914057, 116.429826,39.915445, 116.436311,39.921443
北京市艾毅幼儿园, 东直门外大街35号东湖别墅C101, 科教文化服务;学校;幼儿园, 116.436402,39.940572, 116.442602,39.941942, 116.449160,39.947723
艾格周末(崇文门新世界店), 崇文门外大街3-6号新世界百货青春馆内, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.411841,39.896792, 116.418076,39.898190, 116.424508,39.904395
